"Sample Date","Location History ID","Parameter","Water Layer (m)","Fraction","Results","Units"
"2017-09-15","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","epilimnion","TOTAL","0.0067","mg/L"
"2017-09-15","0704CAN0286_CSL1","TRUE COLOR","epilimnion","TOTAL","4","color units"
"2017-09-15","0704CAN0286_CSL1","cylindrospermopsin","epilimnion","","0","ug/L"
"2017-09-15","0704CAN0286_CSL1","chlorophyll-a-concentration_cryptophyta_cryptophytes","epilimnion","","0.241","ug/L"
"2017-09-15","0704CAN0286_CSL1","DEPTH, SECCHI DISK DEPTH","not applicable","","5.35","meters"
"2017-09-15","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","epilimnion","","0.653","ug/L"
"2018-07-01","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","epilimnion","","0.3","ug/L"
"2018-07-01","0704CAN0286_CSL1","TEMPERATURE","hypolimnion","","18","celsius"
"2018-07-01","0704CAN0286_CSL1","chlorophyll-a-concentration_chlorophyte_green-algae","epilimnion","","0","ug/L"
"2018-07-01","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","epilimnion","","0","ug/L"
"2018-07-01","0704CAN0286_CSL1","total_dissolved_nitrogen","epilimnion","DISSOLVED","0.56","mg/L"
"2018-07-01","0704CAN0286_CSL1","PHOSPHORUS, DISSOLVED","hypolimnion","DISSOLVED","0.0029","mg/L"
"2018-07-01","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","hypolimnion","","0","ug/L"
"2018-07-01","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","epilimnion","","0.069","ug/L"
"2018-07-01","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","epilimnion","","1.24","ug/L"
"2018-07-01","0704CAN0286_CSL1","NITROGEN, TOTAL","hypolimnion","TOTAL","0.567","mg/L"
"2018-07-01","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","hypolimnion","","1.07","ug/L"
"2018-07-01","0704CAN0286_CSL1","TEMPERATURE","epilimnion","","23","celsius"
"2018-07-01","0704CAN0286_CSL1","nitrate_nitrite","epilimnion","TOTAL","192","ug/L"
"2018-07-01","0704CAN0286_CSL1","PHOSPHORUS, DISSOLVED","epilimnion","DISSOLVED","0.0026","mg/L"
"2018-07-01","0704CAN0286_CSL1","PH","epilimnion","","7.85","pH units"
"2018-07-01","0704CAN0286_CSL1","uv_254","hypolimnion","TOTAL","3.94","1/cm"
"2018-07-01","0704CAN0286_CSL1","CHLOROPHYLL A","epilimnion","TOTAL","1.4","ug/L"
"2018-07-01","0704CAN0286_CSL1","NITROGEN, TOTAL","epilimnion","TOTAL","0.534","mg/L"
"2018-07-01","0704CAN0286_CSL1","chlorophyll-a-concentration_chlorophyte_green-algae","hypolimnion","","0","ug/L"
"2018-07-01","0704CAN0286_CSL1","TRUE COLOR","epilimnion","TOTAL","2","color units"
"2018-07-01","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","epilimnion","TOTAL","0.0044","mg/L"
"2018-07-01","0704CAN0286_CSL1","CALCIUM","epilimnion","TOTAL","34.9","mg/L"
"2018-07-01","0704CAN0286_CSL1","NITROGEN, AMMONIA (AS N)","epilimnion","TOTAL","0.035","mg/L"
"2018-07-01","0704CAN0286_CSL1","CHLOROPHYLL A","hypolimnion","","1.46","RFU"
"2018-07-01","0704CAN0286_CSL1","chlorophyll-a-concentration_chlorophyte_green-algae","epilimnion","","0.08","ug/L"
"2018-07-01","0704CAN0286_CSL1","chlorophyll-a-concentration_cryptophyta_cryptophytes","hypolimnion","","0.39","ug/L"
"2018-07-01","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","hypolimnion","TOTAL","0.0048","mg/L"
"2018-07-01","0704CAN0286_CSL1","DEPTH, SECCHI DISK DEPTH","not applicable","","7.05","meters"
"2018-07-01","0704CAN0286_CSL1","dissolved_organic_carbon","hypolimnion","DISSOLVED","2800","ug/L"
"2018-07-01","0704CAN0286_CSL1","total_dissolved_nitrogen","hypolimnion","DISSOLVED","0.548","mg/L"
"2018-07-01","0704CAN0286_CSL1","chlorophyll-a-concentration_total","epilimnion","","0.3","ug/L"
"2018-07-01","0704CAN0286_CSL1","chlorophyll-a-concentration_cryptophyta_cryptophytes","epilimnion","","0.136","ug/L"
"2018-07-01","0704CAN0286_CSL1","SPECIFIC CONDUCTANCE","epilimnion","","428","uS/cm"
"2018-07-01","0704CAN0286_CSL1","CHLOROPHYLL A","epilimnion","","1.52","RFU"
"2018-07-15","0704CAN0286_CSL1","CHLOROPHYLL A","epilimnion","TOTAL","1.8","ug/L"
"2018-07-15","0704CAN0286_CSL1","uv_254","hypolimnion","TOTAL","3.89","1/cm"
"2018-07-15","0704CAN0286_CSL1","orthophosphate","epilimnion","DISSOLVED","3e-04","mg/L"
"2018-07-15","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","hypolimnion","TOTAL","0.008","mg/L"
"2018-07-15","0704CAN0286_CSL1","TEMPERATURE","epilimnion","","26","celsius"
"2018-07-15","0704CAN0286_CSL1","NITROGEN, AMMONIA (AS N)","epilimnion","TOTAL","0.021","mg/L"
"2018-07-15","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","epilimnion","","0.5","ug/L"
"2018-07-15","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","epilimnion","","0.011","ug/L"
"2018-07-15","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","epilimnion","","1.16","ug/L"
"2018-07-15","0704CAN0286_CSL1","PH","epilimnion","","7.99","pH units"
"2018-07-15","0704CAN0286_CSL1","total_dissolved_nitrogen","epilimnion","DISSOLVED","0.443","mg/L"
"2018-07-15","0704CAN0286_CSL1","NITROGEN, TOTAL","hypolimnion","TOTAL","0.403","mg/L"
"2018-07-15","0704CAN0286_CSL1","chlorophyll-a-concentration_chlorophyte_green-algae","hypolimnion","","0","ug/L"
"2018-07-15","0704CAN0286_CSL1","total_dissolved_nitrogen","hypolimnion","DISSOLVED","0.299","mg/L"
"2018-07-15","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","hypolimnion","","0.053","ug/L"
"2018-07-15","0704CAN0286_CSL1","orthophosphate","hypolimnion","DISSOLVED","3e-04","mg/L"
"2018-07-15","0704CAN0286_CSL1","TRUE COLOR","epilimnion","TOTAL","0.5","color units"
