"Sample Date","Location History ID","Bloom Status"
"2018-09-12","0704CAN0286_3602","confirmed_with_high_toxins"
"2024-08-24","0704CAN0286_3602","confirmed"
"2024-08-26","0704CAN0286_3602","confirmed"
"2024-09-03","0704CAN0286_3602","confirmed"
"2024-09-10","0704CAN0286_3602","confirmed"
"2024-09-14","0704CAN0286_3602","confirmed"
"2024-11-03","0704CAN0286_3602","confirmed"
"2023-10-02","0704CAN0286_3622","confirmed"
"2021-10-06","0704CAN0286_3624","confirmed"
"2024-09-03","0704CAN0286_3625","confirmed"
"2019-09-03","0704CAN0286_3626","confirmed"
"2019-09-30","0704CAN0286_3626","confirmed_with_high_toxins"
"2020-08-03","0704CAN0286_3626","confirmed"
"2020-09-08","0704CAN0286_3626","confirmed"
"2021-08-21","0704CAN0286_3626","confirmed"
"2021-10-05","0704CAN0286_3626","confirmed"
"2022-09-17","0704CAN0286_3626","confirmed"
"2021-08-26","0704CAN0286_3633","confirmed"
"2021-10-07","0704CAN0286_3633","confirmed"
"2020-08-06","0704CAN0286_3634","confirmed"
"2020-09-08","0704CAN0286_3634","confirmed"
"2020-09-25","0704CAN0286_3634","confirmed"
"2023-09-06","0704CAN0286_3634","confirmed"
"2023-09-21","0704CAN0286_3634","confirmed"
"2023-10-02","0704CAN0286_3634","confirmed"
"2024-07-29","0704CAN0286_3634","confirmed"
"2024-08-26","0704CAN0286_3634","confirmed"
"2024-09-05","0704CAN0286_3634","confirmed"
"2024-09-10","0704CAN0286_3634","confirmed"
"2024-09-13","0704CAN0286_3634","confirmed"
"2025-09-23","0704CAN0286_3634","confirmed"
"2025-10-03","0704CAN0286_3634","confirmed"
"2020-09-08","0704CAN0286_3635","confirmed"
"2020-09-25","0704CAN0286_3635","confirmed"
"2023-09-06","0704CAN0286_3635","confirmed"
"2023-09-17","0704CAN0286_3635","confirmed"
"2023-10-02","0704CAN0286_3635","confirmed"
"2023-10-03","0704CAN0286_3635","confirmed"
"2024-08-27","0704CAN0286_3635","confirmed"
"2024-09-03","0704CAN0286_3635","confirmed"
"2024-09-10","0704CAN0286_3635","confirmed"
"2024-09-11","0704CAN0286_3635","confirmed"
"2024-09-13","0704CAN0286_3635","confirmed"
"2024-09-20","0704CAN0286_3635","confirmed"
"2025-09-14","0704CAN0286_3635","confirmed"
"2025-09-23","0704CAN0286_3635","confirmed"
"2021-10-06","0704CAN0286_3636","confirmed"
"2023-09-06","0704CAN0286_3636","confirmed"
"2023-10-03","0704CAN0286_3636","confirmed"
"2024-08-24","0704CAN0286_3636","confirmed"
"2024-09-04","0704CAN0286_3636","confirmed"
"2024-09-12","0704CAN0286_3636","confirmed"
"2024-09-13","0704CAN0286_3636","confirmed"
"2024-09-15","0704CAN0286_3636","confirmed"
"2024-09-17","0704CAN0286_3636","confirmed"
"2024-09-18","0704CAN0286_3636","confirmed"
"2024-11-03","0704CAN0286_3636","confirmed"
"2021-09-23","0704CAN0286_3638","confirmed"
"2022-09-09","0704CAN0286_3638","confirmed"
"2022-09-10","0704CAN0286_3638","confirmed"
"2024-08-24","0704CAN0286_3638","confirmed"
"2024-09-05","0704CAN0286_3638","confirmed"
"2024-09-15","0704CAN0286_3638","confirmed"
"2024-09-21","0704CAN0286_3638","confirmed"
"2024-09-17","0704CAN0286_3639","confirmed"
"2020-09-08","0704CAN0286_3641","confirmed"
